logFC	AveExpr	t	P.Value	adj.P.Val	B	p.value.log10
P48681_S680	2.16245617957688	0.560376139140479	32.6580149124092	2.10775682020873e-13	3.42510483283918e-10	20.965613864431	9.4653261314338
P48681_T776	2.13852646632819	0.515300590322508	19.9137065759165	8.69886173087040e-11	5.54673628630187e-08	15.3142563277126	7.2559624817012
P48681_S471	1.66518337457347	0.727496119911341	19.645832558495	1.02401285285573e-10	5.54673628630187e-08	15.1526813059249	7.2559624817012
P48681_S1577	2.24114373375891	-0.0801399387279667	19.1529229955487	1.39018491123795e-10	5.64762620190418e-08	14.8489853103178	7.2481340555509
P48681_S1418	1.84836918060729	-0.179744492293875	17.5362431908926	4.00120152033024e-10	1.27755183083098e-07	13.7905016286303	6.89362147132064
Q1KMD3_S161	0.95355477873522	0.48860702688112	17.2962694330678	4.717114452299e-10	1.27755183083098e-07	13.6246221981905	6.89362147132064
P13796_S5	-1.07394506924125	0.682953973346954	-17.071983288974	5.5121947053757e-10	1.27961662803364e-07	13.4674010491764	6.89292012509283
Q9P266_S1044	-0.964179103295201	-0.970269923179091	-16.5008857208496	8.26709987884269e-10	1.67925466288992e-07	13.0572079333336	6.77488343709534
Q7L8J4_S362	-1.30514063304487	-0.95857550448635	-15.8804129390866	1.30335381313198e-09	2.35327771815496e-07	12.5947236862347	6.62832681725872
P08670_S56	2.8858961392429	-0.295278764931868	21.8966179149498	2.19952939007879e-09	3.00886859141179e-07	12.2183676386955	6.52159677911633
Q7Z5L9_S360	-0.769554196257061	-0.448076973634964	-15.2957595296958	2.03198755659522e-09	3.00886859141179e-07	12.1419058617768	6.52159677911633
P29966_S101	1.14374860523028	0.00791243247031232	15.1160080197446	2.33647786257076e-09	3.00886859141179e-07	11.9992028890999	6.52159677911633
Q4L180_S791	1.01749358967461	-0.829111006557711	15.0779244461352	2.40709487312943e-09	3.00886859141179e-07	11.9687523422011	6.52159677911633
