	UOK262	UOK262pFH	median_diff	metabolite	pval	t	fdr	exchange
0	0.067235479	0.0653857	0.001849779	alanine	0.152230349278	1.48179481503	0.223868160703	R_EX_ala_L_e
1	0.0171737275	0.005990008	0.0111837195	glycine	8.81053794463e-06	5.51762840129	1.83552873846e-05	R_EX_gly_e
2	0.0004305305	0.001131539	-0.0007010085	asparagine	1.64375591658e-13	-13.3467393023	4.10938979145e-12	R_EX_asn_L_e
3	0.0278107875	0.0	0.0278107875	fumarate	1.97083717824e-12	17.233836105	1.6423643152e-11	R_EX_fum_e
4	-0.000924784	0.001080154	-0.002004938	aspartate	1.69087906787e-10	-9.11801257955	5.28399708708e-10	R_EX_asp_L_e
5	0.115671509	0.059911636	0.055759873	glutamate	7.98835876155e-12	12.2801637935	3.99417938078e-11	R_EX_glu_L_e
6	-0.0251730115	-0.028811578	0.0036385665	lysine	0.144286851745	1.50356209297	0.223868160703	R_EX_lys_L_e
7	-0.0378810865	-0.0331975575	-0.004683529	threonine	0.368283860911	-0.916824505751	0.484584027514	R_EX_thr_L_e
8	-0.0050546855	-0.0052918355	0.00023715	methionine	0.699326012444	0.390843113405	0.759915721078	R_EX_met_L_e
9	-0.202520698	-0.134790979	-0.067729719	glutamine	1.73012562611e-08	-7.32680719005	4.32531406528e-08	R_EX_gln_L_e
10	0.0052789845	0.003306632	0.0019723525	aKG	4.09711810094e-06	5.97570767694	9.3116320476e-06	R_EX_akg_e
11	-0.033447149	-0.0262994645	-0.0071476845	serine	0.00255891851607	-3.35171815751	0.00492099714628	R_EX_ser_L_e
12	-0.9147466505	-0.219789346	-0.6949573045	glucose	0.0359777189578	-2.24350034788	0.0642459267103	R_EX_glc_e
13	-0.372286442	-0.271311833	-0.100974609	pyruvate	2.20217931422e-11	-10.1963726389	9.17574714258e-11	R_EX_pyr_e
14	-0.0309432145	-0.038898863	0.0079556485	arginine	0.781617008266	0.280043302145	0.781617008266	R_EX_arg_L_e
15	-0.0400107165	-0.038432788	-0.0015779285	valine	0.729519092235	-0.349135488079	0.759915721078	R_EX_val_L_e
16	-0.002327074	-0.002657497	0.000330423	tryptophan	0.489357853142	0.700214785483	0.582568872788	R_EX_trp_L_e
17	-0.005254038	-0.0087336675	0.0034796295	phenylalanine	0.414030143138	0.827778609855	0.517537678922	R_EX_phe_L_e
18	-0.0270442605	-0.0203568805	-0.00668738	histidine	0.328050161833	-0.99859304325	0.455625224769	R_EX_his_L_e
19	-0.1297655245	-0.0712840955	-0.058481429	leucine+isoleucine	0.0579906512314	-2.0017807691	0.0966510853856	
20	0.012576347	0.0066746195	0.0059017275	proline	6.388935907e-11	11.3440129882	2.28176282393e-10	R_EX_pro_L_e
21	0.0001945295	0.002090787	-0.0018962575	malate	4.50854049851e-12	-10.378140087	2.81783781157e-11	R_EX_mal_L_e
22	2.0406824855	1.486373571	0.5543089145	lactate	8.52167533853e-13	12.5471373808	1.06520941732e-11	R_EX_lac_L_e
23	-0.009140813	-0.0071727195	-0.0019680935	tyrosine	0.521291699834	-0.648857450002	0.592376931629	R_EX_tyr_L_e
24	0.00838954	-0.0001988975	0.0085884375	succinate	2.36569704348e-09	9.48447235593	6.57138067634e-09	R_EX_succ_e
