,UOK262,UOK262pFH,delta
R_10FTHF5GLUtl,0.0,0.0,0.0
R_10FTHF5GLUtm,0.0,0.0,0.0
R_10FTHF6GLUtl,0.0,0.0,0.0
R_10FTHF6GLUtm,0.0,0.0,0.0
R_10FTHF7GLUtl,0.0,0.0,0.0
R_10FTHF7GLUtm,0.0,0.0,0.0
R_10FTHFtl,0.0,0.0,0.0
R_10FTHFtm,-0.530148462206,0.00382166750265,0.526326794704
R_11DOCRTSLtm,0.0,0.0,0.0
R_11DOCRTSLtr,0.0,0.0,0.0
R_11DOCRTSTRNtm,0.0,0.0,0.0
R_11DOCRTSTRNtr,0.0,0.0,0.0
R_12HTACRtep,0.0,0.0,0.0
R_12HTACRtu,0.0,0.0,0.0
R_13DAMPPOX,0.0,0.0,0.0
R_13DMTtep,0.0,0.0,0.0
R_13DMTtu,0.0,0.0,0.0
R_1513TACRtep,0.0,0.0,0.0
R_1513TACRtu,0.0,0.0,0.0
R_15DMTtep,0.0,0.0,0.0
R_15DMTtu,0.0,0.0,0.0
R_1MNCAMti,0.0,0.0,0.0
R_1PPDCRp,0.0,0.0,0.0
R_1a25DHVITD3TRn,0.0,0.0,0.0
R_24_25DHVITD3t,0.0,0.0,0.0
R_25HVITD3c,0.0,0.0,0.0
R_2AMACHYD,0.0,0.0,0.0
R_2AMACSULT,0.0,0.0,0.0
R_2AMADPTm,0.00973753653904,0.0,0.00973753653904
R_2DR1PP,0.0,0.0,0.0
R_2HATVACIDhc,0.0,0.0,0.0
R_2HATVACIDteb,0.0,0.0,0.0
R_2HATVACIDtep,0.0,0.0,0.0
R_2HATVACIDthc,0.0,0.0,0.0
R_2HATVLAChc,0.0,0.0,0.0
R_2HATVLACteb,0.0,0.0,0.0
R_2HATVLACtep,0.0,0.0,0.0
R_2HATVLACthc,0.0,0.0,0.0
R_2HBO,0.0,0.0,0.0
R_2HBt2,0.0,0.0,0.0
R_2HCO3_NAt,0.0,0.0,0.0
R_2MCITt,0.0,0.0,0.0
R_2OXOADOXm,0.0980580506025,0.0921983284727,0.00585972212985
R_2OXOADPTm,0.0,0.00960874994823,-0.00960874994823
R_31DMTtep,0.0,0.0,0.0
R_31DMTtu,0.0,0.0,0.0
R_34DHOXPEGOX,0.0,0.0,0.0
R_34DHOXPEGt,0.0,0.0,0.0
R_34DHPHELAT1tc,0.0,0.0,0.0
R_34DHPHEt,0.0,0.0,0.0
R_34HPLFM,0.0,0.0,0.0
R_34HPPOR,0.191732381254,0.187675593965,0.00405678728925
R_34HPPte,0.0,0.0,0.0
R_35CGMPtn,0.0,0.0,0.0
R_35DHPVStep,0.0,0.0,0.0
R_35DHPVSthc,0.0,0.0,0.0
R_3AIBTm,0.0,0.0,0.0
R_3AIB_Dtm,0.0,0.0,0.0
R_3AIBt,0.0,0.0,0.0
R_3AIBtm,0.0,0.0,0.0
R_3DPHBH1,0.0,0.0,0.0
R_3DPHBH2,0.0,0.0,0.0
R_3DSPHR,0.000344914781182,0.000514158906151,-0.00016924412497
R_3HAO,0.00973753653904,0.00960874994823,0.000128786590807
R_3HBCOAHLm,0.0930446985593,0.0896318442241,0.00341285433521
R_3HCO3_NAt,-0.11751191073,0.0,0.11751191073
R_3HKYNAKGAT,0.0,0.0,0.0
R_3HLYTCL,0.0,0.0,0.0
R_3HPVSTETteb,0.0,0.0,0.0
R_3HPVSTETtev,0.0,0.0,0.0
R_3HPVSteb,0.0,0.0,0.0
R_3HPVStep,0.0,0.0,0.0
R_3HPVSthc,0.0,0.0,0.0
R_3ISPVSteb,0.0,0.0,0.0
R_3ISPVStep,0.0,0.0,0.0
R_3ISPVSthc,0.0,0.0,0.0
R_3MLDAt,0.0,0.0,0.0
R_3MOBt2im,0.0,0.0,0.0
R_3MOBte,0.0,0.0,0.0
R_3MOPt2im,0.0,0.0,0.0
R_3MOPte,0.0,0.0,0.0
R_3SALAASPm,-0.0177538933394,0.0,0.0177538933394
R_3SALACBOXL,0.0,0.0,0.0
R_3SALAOX,0.0,0.0,0.0
R_3SALATAi,0.278309135021,0.294131219819,-0.0158220847984
R_3SALATAim,0.0177538933394,0.0,0.0177538933394
R_3SPYRSP,0.278309135021,0.294131219819,-0.0158220847984
R_3SPYRSPm,0.0177538933394,0.0,0.0177538933394
R_41R1H2MAE12BOOX,0.0,0.0,0.0
R_41R2A1H12BOOX,0.0,0.0,0.0
R_4ABUTtcn,0.0,0.0,0.0
R_4ABUTtm,0.0,0.0,0.0
R_4BHGLZABCt,0.0,0.0,0.0
R_4BHGLZtev,0.0,0.0,0.0
R_4HATVACIDhc,0.0,0.0,0.0
R_4HATVACIDteb,0.0,0.0,0.0
R_4HATVACIDtep,0.0,0.0,0.0
R_4HATVACIDthc,0.0,0.0,0.0
R_4HATVLAChc,0.0,0.0,0.0
R_4HATVLACteb,0.0,0.0,0.0
R_4HATVLACtep,0.0,0.0,0.0
R_4HATVLACthc,0.0,0.0,0.0
R_4HBZCOAFm,0.0,0.0,0.0
R_4HBZFm,0.0,0.0,0.0
R_4HOXPACDOX_NADP,0.0,0.0,0.0
R_4HPROLTASCT1,0.0,0.0,0.0
R_4MOPt2im,0.0,0.0,0.0
R_4MOPte,0.0,0.0,0.0
R_4MPTNLte,0.0,0.0,0.0
R_4MPTNLtm,0.0,0.0,0.0
R_4OHPROIMINOtc,0.0,0.0,0.0
R_4PYRDX,0.0,0.0,0.0
R_56DHPVSteb,0.0,0.0,0.0
R_56DHPVStev,0.0,0.0,0.0
R_56EPPVSteb,0.0,0.0,0.0
R_56EPPVStev,0.0,0.0,0.0
R_5ADTSTSTERONEGLCte,0.0,0.0,0.0
R_5ADTSTSTERONEGLCtr,0.0,0.0,0.0
R_5ADTSTSTERONESULT,0.0,0.0,0.0
R_5ADTSTSTERONEte,0.0,0.0,0.0
R_5ADTSTSTERONEtr,0.0,0.0,0.0
R_5AOPtm,0.0,0.0,0.0
R_5DHFtl,0.0,0.0,0.0
R_5HLTDL,0.0,0.0,0.0
R_5HOXINDACTO2OX,0.0,0.0,0.0
R_5HTRPVESSEC,0.0,0.0,0.0
R_5MTAte,0.0,0.0,0.0
R_5MTHFt2,0.0,0.0,0.0
R_5MTHFt2le,0.0,0.0,0.0
R_5OXPROt,0.0,0.0,0.0
R_5THFtl,0.0,0.0,0.0
R_5THFtm,0.0,0.0,0.0
R_6AHGLZABCt,0.0,0.0,0.0
R_6AHGLZtev,0.0,0.0,0.0
R_6BHGLZABCt,0.0,0.0,0.0
R_6BHGLZGLCABCt,0.0,0.0,0.0
R_6BHGLZGLCtev,0.0,0.0,0.0
R_6BHGLZtev,0.0,0.0,0.0
R_6DHFtl,0.0,0.0,0.0
R_6DHFtm,0.0,0.0,0.0
R_6EPSteb,0.0,0.0,0.0
R_6EPVStep,0.0,0.0,0.0
R_6EPVSthc,0.0,0.0,0.0
R_6HTSTSTERONEte,0.0,0.0,0.0
R_6HTSTSTERONEtr,0.0,0.0,0.0
R_6THFtl,0.0,0.0,0.0
R_6THFtm,0.0,0.0,0.0
R_7AHGLZABCt,0.0,0.0,0.0
R_7AHGLZtev,0.0,0.0,0.0
R_7BHGLZABCt,0.0,0.0,0.0
R_7BHGLZGLCABCt,0.0,0.0,0.0
R_7BHGLZGLCtev,0.0,0.0,0.0
R_7BHGLZtev,0.0,0.0,0.0
R_7DHCHSTEROLtr,0.0,0.0,0.0
R_7DHFtl,0.0,0.0,0.0
R_7DHFtm,0.0,0.0,0.0
R_7HPVSteb,0.0,0.0,0.0
R_7HPVStev,0.0,0.0,0.0
R_7THFtl,0.0,0.0,0.0
R_7THFtm,0.0,0.0,0.0
R_A4GALTg,0.0,0.0,0.0
R_AACOAT,0.0,0.36023361678,-0.36023361678
R_AACTOOR,0.0,0.0,0.0
R_AACTtm,0.0,0.0,0.0
R_AASAD3m,0.0883205140635,0.0825895785245,0.00573093553905
R_AATAi,-0.00973753653904,0.0,0.00973753653904
R_ABO1g,0.0,0.0,0.0
R_ABO2g,0.0,0.0,0.0
R_ABO3g,0.0,0.0,0.0
R_ABO4g,0.0,0.0,0.0
R_ABO5g,0.0,0.0,0.0
R_ABO6g,0.0,0.0,0.0
R_ABO7g,0.0,0.0,0.0
R_ABO8g,0.0,0.0,0.0
R_ABO9g,0.0,0.0,0.0
R_ABTArm,0.0,0.0,0.0
R_ABTD,0.0,0.0,0.0
R_ABTti,0.0,0.0,0.0
R_ABUTD,0.0,0.0,0.0
R_ABUTt2r,0.0,0.0,0.0
R_ABUTt4_2_r,0.0,0.0,0.0
R_ACACT10m,0.0943570158641,0.0915880944829,0.00276892138118
